日付,A班,A-vacation,A-early-notAllow,A-over-notAllow,A人数,B班,B-vacation,B-early-notAllow,B-over-notAllow,B人数,C班,C-vacation,C-early-notAllow,C-over-notAllow,C人数,D班,D-vacation,D-early-notAllow,D-over-notAllow,D人数
2026-02-01,丙②,,,,10,乙③,,,,10,甲④,,,,10,休,,,,0
2026-02-02,丙③,,,,10,乙④,,,,10,休,,,,0,甲①,,,,10
2026-02-03,丙④,,,,10,休,,,,0,乙①,,,,10,甲②,,,,10
2026-02-04,休,,,,0,丙①,,,,10,乙②,,,,10,甲③,,,,10
2026-02-05,休,,,,0,丙②,,,,10,乙③,,,,10,甲④,,,,10
2026-02-06,甲①,,,,10,丙③,,,,10,乙④,,,,10,休,,,,0
2026-02-07,甲②,,,,10,丙④,,,,10,休,,,,0,乙①,,,,10
2026-02-08,甲③,,,,10,休,,,,0,丙①,,,,10,乙②,,,,10
2026-02-09,甲④,,,,10,休,,,,0,丙②,,,,10,乙③,,,,10
2026-02-10,休,,,,0,甲①,,,,10,丙③,,,,10,乙④,,,,10
2026-02-11,乙①,,,,10,甲②,,,,10,丙④,,,,10,休,,,,0
2026-02-12,乙②,,,,10,甲③,,,,10,休,,,,0,丙①,,,,10
2026-02-13,乙③,,,,10,甲④,,,,10,休,,,,0,丙②,,,,10
2026-02-14,乙④,,,,10,休,,,,0,甲①,,,,10,丙③,,,,10
2026-02-15,休,,,,0,乙①,,,,10,甲②,,,,10,丙④,,,,10
2026-02-16,丙①,,,,10,乙②,,,,10,甲③,,,,10,休,,,,0
2026-02-17,丙②,,,,10,乙③,,,,10,甲④,,,,10,休,,,,0
2026-02-18,丙③,,,,10,乙④,,,,10,休,,,,0,甲①,,,,10
2026-02-19,丙④,,,,10,休,,,,0,乙①,,,,10,甲②,,,,10
2026-02-20,休,,,,0,丙①,,,,10,乙②,,,,10,甲③,,,,10
2026-02-21,休,,,,0,丙②,,,,10,乙③,,,,10,甲④,,,,10
2026-02-22,甲①,,,,10,丙③,,,,10,乙④,,,,10,休,,,,0
2026-02-23,甲②,,,,10,丙④,,,,10,休,,,,0,乙①,,,,10
2026-02-24,甲③,,,,10,休,,,,0,丙①,,,,10,乙②,,,,10
2026-02-25,甲④,,,,10,休,,,,0,丙②,,,,10,乙③,,,,10
2026-02-26,休,,,,0,甲①,,,,10,丙③,,,,10,乙④,,,,10
2026-02-27,乙①,,,,10,甲②,,,,10,丙④,,,,10,休,,,,0
2026-02-28,乙②,,,,10,甲③,,,,10,休,,,,0,丙①,,,,10
